Запрос,Уточнение запроса,Тип,Вопрос,Ответ
Оплата,Баланс и оплата,Мобильная связь,Как пополнить баланс номера?,"Пополнение баланса возможно различными вариантами,
                                                                                как разово, так и регулярными списаниями с банковской карты: банковской картой на сайте в разделе оплата;в Личном Кабинете на сайте или в
                                                                                                мобильном приложении;с помощью партнеров WebMoney,
                                                                                                Яндекс.Деньги;наличными в терминалах оплаты (кроме
                                                                                                Qiwi) При оплате наличными, пожалуйста, сохраняйте чек до
                                                                                момента поступления денежных средств на номер."
Оплата,Баланс и оплата,Мобильная связь,Что такое Детализация счета?,"С услугой «Детализация счета» Вы всегда можете
                                                                проанализировать Ваши расходы на мобильную связь! В детализации будут отображены: дата, время, номера
                                                                телефонов, длительность соединения в секундах, стоимость каждого звонка, каждого SMS и каждой
                                                                интернет — сессии. Воспользуйтесь удобным для Вас способом заказа
                                                                детализации. В Личном кабинете услуга предоставляется бесплатно. Как воспользоваться: Зарегистрируйтесь и авторизуйтесь в
                                                                                                «Личном кабинете»;Выберите услугу «Мобильная связь» и
                                                                                                нажмите на кнопку «Подробнее об услуге»;В блоке «Общая информация» перейдите
                                                                                                на ссылку «Заказать детализацию»;Заполните параметры для заказа
                                                                                                детализации: период и адрес электронной почты;Нажмите кнопку «Заказать». Данный отчет будет отправлен Вам по электронной почте. В Центре продаж и обслуживания стоимость услуги 30
                                                                рублей. Разовая детализация выдается владельцу номера по
                                                                договору или его Доверенному лицу с нотариальной доверенностью от владельца номера по договору на
                                                                получение «Детализации услуг связи» по письменному заявлению при предъявлении документа,
                                                                удостоверяющего личность и оплачивается при получении."
Оплата,Получение счетов за услуги связи,Мобильная связь,"Кому выставляются счета, где их посмотреть, как узнать что счет был выставлен и сроки его оплаты?","В предоплатной системе расчетов Вы сначала платите,
                                                                                а потом
                                                                                говорите: вносите денежные средства на баланс, которые впоследствии идут в оплату услуг связи. Счета за услуги связи не выставляются. Абонентам постоплатной системы расчетов ежемесячно
                                                                                выставляются счета за услуги связи. В начале каждого месяца Вам будет приходить счёт по SMS. У
                                                                                Вас есть
                                                                                целых 20 дней на его оплату. Всё это время можно продолжать общение! Свои счета Вы сможете посмотреть в Личном
                                                                                кабинете. Также мы реализовали несколько
                                                                                команд, которые позволят Вам контролировать свои расходы: информация о затратах в текущем периоде *122#информация о выставленном счете *123#информация о начислениях за текущий месяц *100*121#информация о всех неоплаченных счетах *125#информация по размеру счета за
                                                                                                конкретный месяц *123*ММ#Доставка счета Для
 оплаты бумажный счет не нужен, достаточно знать номер телефона и сумму к
 оплате, которые можно легко посмотреть в Личном кабинете. Чтобы
 получать счета для оплаты, Вам не нужно приезжать в офис Ростелеком или
 дожидаться письма по почте, закажите бесплатную электронную доставку и 
получайте их на e-mail. Для этого в Личном кабинете всего два простых
                                                                                шага: Зарегистрироваться или войти в Личный кабинет (lk.rt.ru)на
 странице «Мои услуги» в разделе «Доставка счетов и уведомлений» выбрать
 «Установить» и определить удобный для Вас способ доставки счета — в 
Личный кабинет или на адрес электронной почты."
Оплата,Получение счетов за услуги связи,Мобильная связь,Почему уменьшился баланс?,"Уменьшение баланса отражает использование Вами
                                                                                наших услуг. Основные причины уменьшения баланса: совершение исходящих звонков, SMS,
                                                                                                MMS сообщений;списание абонентской платы по тарифу;подключение телефона к интернету;использование телефона за пределами
                                                                                                домашней сети (в роуминге);превышение минут, SMS, MMS,
                                                                                                интернет-трафика, включенных в пакетный тарифный план; подключение дополнительных услуг,
                                                                                                имеющих абонентскую плату или стоимость подключения;на Вашем балансе было недостаточно
                                                                                                денежных средств для списания абонентской платы по тарифу в полном объеме и действует
                                                                                                повышенная тарификация на звонки, SMS и интернет согласно параметрам Вашего тарифного
                                                                                                плана. Также баланс уменьшается, если: Вы переводите средства с Лицевого
                                                                                                счета мобильной связи на Лицевой счет домашнего телефона;по окончании периода предоставления
                                                                                                Обещанного платежа (списание ранее предоставленной суммы);в случае положительного баланса и
                                                                                                неиспользования номера в течение 120 дней и более списывается ежедневная абонентская плата,
                                                                                                с целью компенсации расходов Компании по содержанию абонента в системе. Для проверки расходов по Вашему номеру, Вы можете
                                                                                заказать Детализацию счета. Узнать как контролировать баланс можно в разделе
                                                                                Баланс и оплата."
Оплата,Активация стартового баланса,Мобильная связь,Как активировать стартовый баланс?,"Если выбранный Вами тарифный план предполагает наличие стартового баланса на SIM-карте, то для активации стартового баланса вставьте SIM-карту в телефон и наберите команду: *136#"
Оплата,Тарифы,Мобильная связь,Какие есть тарифы?,Поглядите здесь: https://moscow.rt.ru/mobile/mobile_tariff
Управление,SMS,Мобильная связь,Что такое SMS?,"SMS — сервис коротких текстовых сообщений. С помощью сервиса отправки SMS-сообщений Вы можете: отправлять и получать информацию, когда говорить неудобно;отправлять информацию сразу нескольким адресатам;экономно расходовать баланс. Услуга отправки SMS подключена всем абонентам Ростелеком по умолчанию. Стандартная длина сообщения составляет 70 символов кириллицей или 160 символов — латиницей. При превышении лимита символов, сообщение разбивается на отдельно тарифицируемые части. Если
 в сообщение вставить медиа-объект (картинку, видео, мелодию), или общий
 размер текста сообщения превысит определенный предел, то некоторые 
модели телефонов могут автоматически преобразовать и отправить его как 
MMS-сообщение с соответствующей тарификацией."
Управление,SMS,Мобильная связь,Сколько стоит услуга?,Услуга тарифицируется согласно параметрам Вашего тарифного плана.
Управление,SMS,Мобильная связь,"Что будет с сообщением, если адресат SMS недоступен?","Когда
 получатель SMS временно недоступен, система по умолчанию будет пытаться
 доставить ему сообщение в течение периода, установленного на телефоне, 
но не более одних суток. 
                  Чтобы изменить или узнать, какой срок отправки 
сообщения установлен на Вашем телефоне — воспользуйтесь руководством по 
эксплуатации для Вашего телефонного аппарата.
               "
Управление,SMS,Мобильная связь,Что означают дата и время при отправке SMS сообщения?,"Дата и время отправки SMS соответствуют местному времени SMS-центра, через который сообщение отправлено."
Управление,SMS,Мобильная связь,Номер SMS-центра,"Дата и время отправки SMS соответствуют местному времени SMS-центра, через который сообщение отправлено. На Вашей SIM-карте нужный номер SMS-центра установлен по умолчанию: +7 904 349 00 08 Если установлен неверный номер SMS-центра, то отправка SMS будет невозможна. Настроить его можно в меню аппарата следующим образом: зайдите в пункт меню «Сообщения»;выберите «Настройки» и найдите пункт «Номер SMS-центра»;запишите туда номер +7 904 349 00 08 и нажмите «Сохранить»;выключите и снова включите телефон и попробуйте отправить SMS."
Управление,SMS,Мобильная связь,Как отправить SMS?,"Чтобы отправить SMS: зайдите в меню «Сообщения» в Вашем телефоне и выберите «Написать новое».
                  введите
 текст сообщения. Если Ваш телефон поддерживает Т9 (система ускоренного 
ввода текста), то Вы сможете набрать текст сообщения в два раза быстрее.в
 строку «Кому» введите номер получателя в международном формате: + код 
страны, код доступа к сети, номер телефона абонента или выберите 
адресата из «Списка контактов» и нажмите «Отправить». если
 текст сообщения превышает 70 символов — кириллицей или 160 — латиницей,
 то сообщение разбивается на части, каждая часть тарифицируется как 
отдельное сообщение."
Управление,SMS,Мобильная связь,Как набирать номер адресата?,"Номер получателя набирайте в международном формате: + код страны, код доступа к сети, номер телефона абонента.
                Например, отправляя SMS абоненту «Ростелеком», набирайте: +7 958 ххх хх хх, где

                  7 — код страны( Россия)

                  958 — код доступа к сети Ростелеком

                  ххх хх хх- номер телефона абонента
                Важно!
 Если Вы неправильно укажете номер адресата, SMS не будет доставлено, и 
средства, затраченные на его отправку, не будут возвращены, т.к. оплата 
взимается по факту отправки SMS-сообщения.
               "
Управление,SMS,Мобильная связь,Какова максимальная длина одного SMS?,"Максимальная длина одного SMS-сообщения: 70 символов — кириллицей, 160 — латиницей. Если
 написанное Вами SMS-сообщение превышает указанный размер, то при 
отправке оно разбивается на части, при этом объем одной части составляет
 67 или 153 символа соответственно. Каждая часть тарифицируется как отдельное SMS-сообщение."
Управление,SMS,Мобильная связь,"Могу ли я получать и отправлять SMS, находясь в путешествии? Сколько это стоит?","Уточнить возможность приема/отправки SMS в роуминге в интересующей Вас стране, а также ознакомиться с тарифами на отправку SMS Вы можете в разделе «Роуминг»."
Управление,SMS,Мобильная связь,Виден ли мой номер на телефоне получателя SMS? Можно ли запретить отображение моего номера при отправке SMS?,Запретить отображение номера отправителя SMS невозможно. При отправке SMS сотовый номер будет виден адресату всегда.
Управление,SMS,Мобильная связь,Как долго может доставляться отправленное SMS и по каким причинам оно может быть не доставлено?,"После
 отправки SMS поступает в SMS-центр. Максимальный срок хранения 
отправленного SMS в памяти SMS-центра составляет 1 сутки. Если в течение
 этого время SMS-центр по каким-то причинам не смог доставить ваше SMS —
 оно снимается с доставки и удаляется из памяти SMS-центра. SMS может быть не доставлено по нескольким причинам: аппарат адресата выключен или находится вне зоны действия сети;сотовый номер адресата заблокирован;память телефона адресата переполнена — необходимо удалить старые входящие и исходящие SMS;неправильно
 указан сотовый номер адресата — необходимо набирать номер в 
международном формате (+ код страны, код доступа к сети, номер телефона 
абонента);неисправность
 аппарата адресата — переставьте SIM-карту в другой аппарат и попробуйте
 отправить тестовое SMS на свой собственный номер;отсутствует
 возможность SMS-обмена между операторами отправителя и адресата 
(возможно в случае отправки SMS на номер абонента другой сотовой сети)."
Управление,SMS,Мобильная связь,"Как узнать, получил ли адресат SMS?","Чтобы
 узнать, получил ли адресат Ваше SMS, необходимо включить опцию «Отчет о
 доставке» (наличие опции зависит от функций телефонного оборудования). Для этого: зайдите в меню «Сообщения»,выберите «Настройка»,включите пункт «Отчет о доставке».В ряде моделей телефонов отчет о доставке приходит, если перед написанием SMS в тексте поставить восклицательный знак."
Управление,SMS,Мобильная связь,У меня не отправляются SMS. Почему?,"1) Если у Вас не получается отправить SMS, необходимо проверить настройки в телефоне:
                     зайдите в пункт меню «Сообщения»;выберите «Настройки» и найдите пункт «Номер SMS-центра», запишите туда номер +7 904 349 00 08 и нажмите «Сохранить»;выключите и снова включите телефон и попробуйте отправить SMS еще раз.
                     2) Проверьте, правильно ли Вы набрали номер адресата. 
Номер получателя необходимо набирать в международном формате: + код 
страны, код доступа к сети, номер телефона абонента.
                     Например, отправляя SMS абоненту «Ростелеком», набирайте: +7 958 ххх хх хх, где

                        7 — код страны (Россия)

                        958 — код доступа к сети Ростелеком

                        ххх хх хх — номер телефона абонента
                     3) Проверьте в настройках телефона формат (тип) сообщения: «Стандарт», «Текст» или «SMS». 4) Проверьте в настройках телефона канал передачи SMS-сообщений: GSM.700 0611."
Управление,SMS,Мобильная связь,Откуда я могу получать SMS?,Вы можете получить SMS с сотовых телефонов Ростелеком и многих других российских и зарубежных сотовых сетей. Также Вы можете получать SMS с интернет-сервисов отправки сообщений.
Управление,SMS,Мобильная связь,В моем аппарате в разделе настройка SMS есть пункт «срок хранения SMS в памяти SMS-центра». Какое значение установить?,"Это не имеет значения, поскольку в сети «Ростелеком» срок хранения SMS-сообщения в SMS-центре изначально задан 1 сутки."
Управление,SMS,Мобильная связь,Почему при открытии полученного SMS на экране телефона появляются вопросительные знаки или выводится сообщение «Несовместимый формат»?,"Наиболее распространенными причинами являются следующие: несовместимость
 аппарата отправителя и получателя, например, SMS написано на русском 
языке, а аппарат адресата не «читает» SMS на русском языке — попробуйте 
написать сообщение в латинице.SMS
 отправлялось с картинкой или мелодией, которые аппарат адресата 
технически не способен распознать. Как правило, это происходит при 
обмене SMS между аппаратами разных фирм-производителей.
                  "
Управление,SMS,Мобильная связь,"Как я узнаю, что мне пришло SMS, и кто его отправил?","Когда Вам поступит новое SMS, на дисплее телефона отобразится конверт. Вместе с текстом сообщения передается номер телефона отправителя, дата и время отправки сообщения. Чтобы просмотреть информацию о том, кто Вам отправил SMS, откройте опцию «Дополнительная информация» или пролистайте стрелочками вверх-вниз при открытии сообщения."
Управление,SMS,Мобильная связь,Я случайно удалил полученное SMS. Можно ли его восстановить?,"К сожалению, восстановить текст удаленного сообщения нет возможности."
Управление,MMS,Мобильная связь,Что такое MMS?,"MMS — сервис мультимедийных сообщений. Услуга
 MMS позволяет обмениваться сообщениями на мобильный телефон или e-mail,
 содержащими видео, аудио, картинки, фотографии и другие файлы, 
отправлять длинные текстовые сообщения. Услуга
 отправки MMS подключена всем абонентам Ростелеком по умолчанию, 
настройки для отправки MMS поступят на Ваш телефон автоматически при 
первом включении SIM-карты. Отправленные MMS-сообщения хранятся в течение 7 дней. Ограничение по размеру исходящего MMS на Ростелеком Россия — 1 024 Кб, на телефоны других операторов — 500 Кб.
               Для телефонов, работающих по протоколу WAP 1.х, отправка MMS не гарантируется.
            "
Управление,MMS,Мобильная связь,Как пользоваться MMS?,"Для создания и отправки MMS-сообщений, а также для получения таких сообщений, требуется телефон с поддержкой функции MMS. Чтобы воспользоваться этими услугами, необходимо настроить свой телефон. Подробности в разделе «Настройки для мобильного интернета»."
Управление,MMS,Мобильная связь,Сколько стоит услуга?,Услуга тарифицируется согласно параметрам Вашего тарифного плана.
Управление,MMS,Мобильная связь,Можно ли отправить MMS-сообщение сразу нескольким адресатам?,"Да. При отправке такого MMS-сообщения Вам необходимо написать адресатов через запятую, либо добавить адресатов в копии. Стоимость такого сообщения будет пропорциональна количеству адресатов и стандартной цене MMS-сообщения."
Управление,MMS,Мобильная связь,Могу ли я отправлять MMS на всей территории России?,Услуга доступна всем абонентам Ростелеком независимо от выбранного тарифного плана и системы расчетов на всей территории России.
Управление,MMS,Мобильная связь,"Могу ли я отправлять и принимать MMS-сообщения, находясь за рубежом?","Вы можете отправлять и принимать MMS-сообщения, находясь за рубежом более чем в 50 странах мира и в России на территории республики Крым и г. Севастополь. Никаких дополнительных шагов по активации услуги делать не нужно. Стоимость отправки MMS в международном роуминге рассчитывается по схеме: стоимость исходящего MMS-сообщения по тарифам Ростелеком + стоимость мобильного интернет-трафика по тарифам партнера."
Управление,MMS,Мобильная связь,"В течение какого времени система будет пытаться доставить MMS, если сотовый телефон недоступен?",Система будет пытаться доставить MMS-сообщение в течение 7 дней.
Управление,MMS,Мобильная связь,"Почему при отправке MMS получатель получил SMS-сообщение, содержащее ссылку?","Вместо MMS получателю поступит SMS-сообщение, содержащее ссылку, если: мобильный телефон адресата не поддерживает MMS;получатель не подключил услугу MMS;мобильный телефон получателя некорректно настроен. В
 этом случае просмотреть MMS-сообщение можно по ссылке в интернете или 
непосредственно с телефона. MMS можно скачать или посмотреть только один
 раз, после просмотра оно удаляется."
Управление,MMS,Мобильная связь,Не могу отправить MMS. Почему?,"
               Если у Вас не получается отправить MMS-сообщение:
             убедитесь,
 что у Вас на телефоне подключена услуга MMS. Чтобы получить SMS с 
информацией о статусе подключения данной услуги наберите бесплатную 
команду *100*311*2#;чтобы
 воспользоваться этой услугой, необходимо настроить свой телефон. 
Проверьте настройки MMS, подробности в разделе «Настройки для мобильного
 интернета»;если
 телефон поддерживает MMS и правильно настроен, то проблема, скорее 
всего, в том, что телефон не зарегистрировался в ММS-центре. Для 
регистрации достаточно отправить одно MMS-сообщение на любой номер;если же ранее Вы успешно отправляли ММS, то необходимо проверить наличие свободного места в памяти телефона для загрузки;руководствуясь
 инструкцией к Вашему телефону, проверьте размер созданного Вами 
MMS-сообщения — оно должно быть не более 1 024 Кб для исходящего MMS на 
Ростелеком Россия, на телефоны других операторов — 500 Кб;убедитесь
 в том, что Вы корректно набираете номер телефона получателя 
MMS-сообщения. Номер необходимо набирать в международном формате;возможная
 причина недоставки MMS-сообщения — отправка на телефон абонента другой 
сети (за исключением поддерживаемых операторов);возможно, телефон получателя MMS-сообщения неисправен/выключен;возможно,
 телефон получателя MMS-сообщения, абонента Ростелеком, 
зарегистрировался в сети позднее, чем через 7 дней с момента отправки 
ему MMS."
Управление,SIM,Мобильная связь,Как активировать SIM карту?,"
            Активация SIM-карты:
           
              SIM-карта подходит для мобильных устройств любого типа, выберите нужный Вам размер и отделите SIM-карту
              от пластиковой основы;
            
              вставьте SIM-карту в телефон;
            
              включите телефон (при необходимости введите PIN-код, указанный на пластиковой основе);
            
              наберите бесплатную команду *136# для активации SIM-карты.
             Теперь Вы можете совершать звонки, отправлять и получать SMS
            и MMS, выходить в Интернет, а также, при желании, сменить Ваш тарифный план, подключить или отключить
            дополнительные услуги и опции. Рекомендуем не выбрасывать пластиковую основу SIM-карты,
            поскольку на ней указаны PIN и PUK коды, а также другая полезная информация, которая может пригодиться при
            пользовании услугами. Если Вы больше не можете пользоваться своей SIM-картой (она
            сломалась или потеряна) или Вам необходимо поменять стандартную SIM-карту на микро-SIM или нано-SIM — мы
            бесплатно ее восстановим или поменяем! Владельцу номера по договору с паспортом достаточно обратиться в
            наши Центры поддержки продаж и обслуживания. "
Управление,SIM,Мобильная связь,Как узнать свой номер для мобильного телефона?,"
            Как узнать свой номер для мобильного телефона:
          
              ваш номер телефона указан в приложении к абонентскому Договору;
            
              также определить свой номер можно, набрав на телефоне команду *110#
            
              ответ с номером телефона поступит Вам в виде SMS.
            "
Управление,SIM,Мобильная связь,"Как сохранить номер, если потерял телефон?","Потеряли телефон? Нет необходимости покупать новую SIM-карту. Приходите в ближайший Центр продаж и
            обслуживания и получите новую SIM-карту в течение нескольких минут совершенно бесплатно, сохранив при этом: 
              номер телефона;
            
              тарифный план и услуги;
            
              баланс.
             В том случае, если SIM-карта утеряна — обязательно
            заблокируйте номер. Восстановить или заменить SIM-карту в Центре продаж и
            обслуживания может владелец номера по абонентскому договору при предъявлении паспорта или доверенное лицо с
            нотариальной доверенностью от владельца номера по абонентскому договору на выполнение процедуры замены
            SIM-карты и ее получения."
Управление,SIM,Мобильная связь,Как изменить свой номер для мобильного телефона?,"
           Вы можете изменить Ваш номер телефона, не меняя действующую
            SIM-карту и сохранив тарифный план и услуги. Мы поможем подобрать удобный для Вас новый номер, в том числе
            из категории золотой. Критерием определения категории номера является наличие в нем
            повторяющихся цифр одного и того же значения, а также порядок их чередования. Номера из категории «Золотой»
            оплачиваются согласно действующему прейскуранту. Стоимость первой замены номера осуществляется бесплатно. Вторая и каждая последующая замена номера — 50 рублей. Осуществить замену номера Вы можете: 
              самостоятельно Личном кабинете с возможностью выбора обычного или золотого федерального номера и
              возможностью подбора номера по последним желаемым четырем цифрам;
            
              по письменному заявлению при личном визите в Центр продаж и обслуживания владельца номера при
              предъявлении паспорта, или доверенного лица с нотариальной доверенностью от владельца номера.
             В том случае, если SIM-карта утеряна — обязательно
            заблокируйте номер. Восстановить или заменить SIM-карту в Центре продаж и
            обслуживания может владелец номера по абонентскому договору при предъявлении паспорта или доверенное лицо с
            нотариальной доверенностью от владельца номера по абонентскому договору на выполнение процедуры замены
            SIM-карты и ее получения."
Управление,SIM,Мобильная связь,Как долго мой номер будет за мной сохраняться?,"Если не пользоваться SIM-картой дольше четырёх месяцев подряд, средства могут быть списаны и номер заблокирован. Следите за этим."
Управление,PIN и PUK,Мобильная связь,Что такое PIN и PUK пароли?,"PIN-код необходим для защиты Вашей SIM-карты от
            нежелательного использования. PIN предоставляется вместе с SIM-картой и может быть изменен
            Вами самостоятельно.  PIN можно изменить через меню телефона, либо с помощью
            универсального алгоритма: **04*PIN*новый PIN*новый PIN#Новый PIN может содержать от 4 до 8 знаков. Будьте внимательны при наборе PIN-кода: при его неправильном
            3-кратном вводе SIM-карта будет заблокирована. Если это все же произошло, то для ее разблокировки введите
            следующую комбинацию, используя PUK-код: **05*PUK*новый PIN*новый PIN#Эта же комбинация используется для смены PIN-кода. PUK-код — это восьмизначный код, предназначенный для изменения
            заблокированного PIN. Предоставляется вместе с SIM-картой, изменению и отключению не подлежит. При неверном 10-кратном вводе PUK-кода Ваша SIM-карта будет
            полностью заблокирована и станет непригодной для дальнейшего использования. В этом случае потребуется обращение владельца номера по
            договору с паспортом в Центр продаж и обслуживания для замены SIM-карты. При замене SIM карты номер и баланс сохраняется. Не забудьте
            заранее сохранить в телефоне Ваши контакты, хранящиеся на SIM-карте."
Управление,PIN и PUK,Мобильная связь,Три раза неправильно введен PIN-код и SIM-карта заблокирована. Что делать?,"Для разблокировки используйте PUK-код (указан на
              пластиковой основе, к которой прикреплялась SIM карта до активации, под защитным слоем);Чтобы разблокировать PIN, наберите команду: **05*PUK*новый
                PIN*новый PIN#"
